FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y,MidPoint_21_x,MidPoint_21_y,MidPoint_22_x,MidPoint_22_y,MidPoint_23_x,MidPoint_23_y,MidPoint_24_x,MidPoint_24_y,MidPoint_25_x,MidPoint_25_y,MidPoint_26_x,MidPoint_26_y,MidPoint_27_x,MidPoint_27_y
2023.0000,13.0000,1878.3643,1608.2562,1337.2536,1550.5560,1655.9356,1532.9140,1513.4679,1448.1334,1596.0771,1380.2522,505.9080,921.2093,1277.3962,892.7858,389.6136,805.1496,930.6631,693.6710,1804.0586,632.6750,1034.7627,613.7325,421.2550,545.6906,1017.9672,487.0777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2024.0000,12.0000,1336.6520,1628.1041,1655.6627,1609.3890,1513.5797,1525.6189,1596.4637,1457.2710,506.0576,999.7965,1277.4655,970.6106,390.0774,883.2341,931.1407,772.0501,1804.0091,710.9462,1034.9578,691.7668,421.1971,623.6957,1017.5095,566.0015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025.0000,10.0000,1513.3288,1603.7574,1596.6710,1535.0424,506.7472,1079.4718,1277.8741,1049.5307,390.4509,962.2482,931.5777,851.4581,1804.1058,790.1506,1035.2740,771.5071,421.3884,702.8305,1017.3761,645.7146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026.0000,9.0000,1596.6546,1612.1358,507.2707,1157.6007,1278.0169,1128.2214,390.7962,1040.7336,931.8483,929.9349,1804.2705,868.3482,1035.6660,849.9826,421.5073,781.3179,1017.5340,724.9618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2027.0000,9.0000,507.6578,1236.5921,1278.2465,1207.5286,391.3545,1119.6392,931.7992,1009.4185,1804.7209,947.4041,1035.9091,929.4840,421.9159,860.6569,1018.0139,804.3083,1614.0064,49.5704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2028.0000,9.0000,508.6773,1314.6046,1278.4110,1285.4805,391.8855,1197.9187,932.1663,1087.9135,1804.8321,1025.8036,1036.0601,1008.2514,422.5478,939.1852,1018.6575,882.6098,1614.4354,127.8031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2029.0000,9.0000,509.9734,1393.7125,1278.6706,1364.8370,392.0934,1277.0584,932.6790,1167.3501,1805.2859,1105.5399,1036.4113,1088.0863,422.8706,1018.7340,1019.5170,962.0042,1614.7814,207.0155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2030.0000,10.0000,511.0501,1470.4931,1279.5224,1442.2185,392.8484,1354.5162,933.6253,1245.1160,1805.6575,1182.5730,1036.7125,1165.9336,422.8950,1095.6293,1020.5139,1039.2750,1615.7647,284.0378,268.3696,50.5074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2031.0000,10.0000,512.3351,1547.5600,1280.4200,1520.1560,393.8072,1431.9415,934.0075,1323.1614,1805.7414,1260.6468,1037.2987,1243.4699,423.8236,1173.7400,1021.9232,1116.5343,1616.2296,361.6622,271.4673,127.3269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2032.0000,11.0000,513.8331,1624.5080,1281.1526,1596.8835,394.3421,1508.5296,934.6930,1400.9696,1805.7761,1337.8089,1037.9339,1320.9648,424.1645,1251.1337,1018.5489,1241.7477,1026.9129,1162.2635,1616.5140,439.1395,273.8328,204.9700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
