FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y
112.0000,4.0000,821.3775,1665.2111,1426.4459,827.6228,950.4497,779.5393,1651.0323,307.4640,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
113.0000,4.0000,1425.4802,918.8038,949.7318,872.4932,1649.1870,398.5842,1677.4163,113.7900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
114.0000,4.0000,1424.5169,1010.3568,949.2808,965.6771,1647.3990,490.0791,1677.2993,204.5213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
115.0000,4.0000,1423.3039,1101.6653,948.5946,1058.4923,1645.3331,581.4714,1676.9703,294.6116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
116.0000,4.0000,1422.1473,1193.2183,948.1962,1151.2080,1643.5309,672.9067,1676.4626,385.0191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117.0000,4.0000,1421.0754,1283.7699,948.0020,1243.0469,1641.4955,763.6754,1676.2303,474.6771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
118.0000,4.0000,1419.7896,1374.9805,947.7735,1335.8064,1639.4815,855.3689,1675.8034,565.0248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
119.0000,4.0000,1418.3047,1465.2153,947.3993,1427.9029,1637.2246,946.0588,1675.1364,654.6262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
120.0000,4.0000,1417.0891,1555.5931,947.3017,1520.0101,1635.3609,1036.6069,1674.6350,744.7863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121.0000,4.0000,1415.8510,1645.0055,947.0679,1611.5832,1633.1629,1126.4947,1674.1297,834.5277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
