FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y
55.0000,6.0000,1229.6585,1615.3486,280.7371,1457.0066,1266.5745,998.7336,1458.0789,652.0495,1158.6736,652.8481,940.6815,55.5404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56.0000,5.0000,276.6263,1545.9641,1263.5265,1090.2863,1456.1820,744.2544,1159.8797,745.5033,936.0842,147.7452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57.0000,5.0000,273.3198,1632.8628,1260.4598,1180.9735,1454.2953,835.3343,1161.1101,837.3217,931.2352,239.0366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.0000,4.0000,1257.3904,1272.7008,1162.5251,930.1396,1452.3159,927.7655,926.6549,331.3581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59.0000,4.0000,1254.1635,1363.2465,1163.8004,1021.4188,1450.5184,1018.8504,922.0293,422.9480,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60.0000,4.0000,1250.9959,1453.9284,1165.0559,1113.3260,1448.8889,1110.6404,917.5193,514.9930,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.0000,5.0000,1248.0307,1543.9789,1166.6169,1205.1408,1446.9588,1202.2930,913.0713,606.8031,1400.9487,118.2965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.0000,6.0000,1244.8254,1634.2582,1167.9530,1297.1302,1444.8783,1294.3073,908.3762,699.0945,1401.9630,210.2936,1823.3348,109.1310,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.0000,6.0000,1169.3290,1388.6662,1442.6828,1385.1703,903.9029,790.7895,1403.0992,302.0085,1819.5905,198.8602,1156.8345,35.8860,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.0000,6.0000,1170.6799,1479.8579,1440.3941,1476.1041,899.5795,882.1562,1403.9562,393.6711,1816.1229,288.8595,1155.2765,125.2468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65.0000,6.0000,1172.1643,1570.5634,1437.9789,1566.9416,895.0061,973.7193,1404.8500,485.3694,1812.5707,379.0549,1153.7545,215.0715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66.0000,6.0000,1173.4528,1660.6096,1435.4159,1657.2929,890.5067,1064.8229,1405.4197,576.8628,1808.8647,469.0521,1152.4773,304.6391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67.0000,5.0000,885.7678,1155.8927,1406.3074,668.2366,1805.1850,559.1199,1150.8384,394.2667,1078.2121,117.0237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68.0000,5.0000,881.4635,1246.5909,1407.0748,759.2307,1801.4921,648.8444,1149.6172,483.2736,1077.1379,208.1425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69.0000,6.0000,876.8978,1337.8279,1407.5511,851.4818,1797.6208,739.5926,1148.1424,573.3516,1075.8643,299.8579,1020.1249,97.8422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70.0000,7.0000,872.3377,1428.0519,1408.2472,942.7739,1793.8806,829.3973,1147.0688,662.7953,1074.6244,390.8407,1017.5370,191.5023,1826.4657,89.0538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71.0000,7.0000,867.6919,1518.7216,1408.9328,1034.8438,1789.9802,919.7753,1145.9651,752.7580,1073.5254,482.7893,1015.0770,285.4566,1825.0805,182.3034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72.0000,8.0000,863.4830,1608.2589,1409.6926,1125.7490,1786.4122,1009.3158,1144.9099,842.0245,1072.5608,573.9242,1012.6829,379.4188,1823.6983,274.8065,854.1620,126.4858,NaN,NaN,NaN,NaN,NaN,NaN
73.0000,8.0000,1410.2019,1217.8119,1782.1701,1099.9145,1143.9092,932.5192,1071.5922,666.3964,1010.2158,474.3840,1821.8094,368.2571,857.5197,220.7302,465.8239,41.9665,NaN,NaN,NaN,NaN,NaN,NaN
