FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y
143.0000,3.0000,339.1449,1405.9923,1906.1623,1042.2525,1119.1036,197.3126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
144.0000,3.0000,333.4355,1495.3349,1906.7377,1132.1409,1117.3687,289.3102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
145.0000,3.0000,328.2830,1585.0482,1907.0202,1222.7716,1115.4632,382.2732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146.0000,2.0000,1906.7000,1312.4632,1113.3357,474.3799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147.0000,2.0000,1906.4923,1402.8614,1111.4725,567.4286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
148.0000,2.0000,1906.2842,1492.1009,1109.7130,659.5335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
149.0000,2.0000,1905.2605,1582.1664,1107.8968,752.8206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150.0000,2.0000,1106.0115,844.5357,1711.3445,111.8317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
151.0000,2.0000,1104.1201,936.8956,1712.3241,206.1976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
152.0000,2.0000,1102.2727,1027.9435,1713.2457,299.6384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
153.0000,2.0000,1100.4008,1120.4478,1714.2031,394.6545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154.0000,2.0000,1098.2698,1211.8164,1715.3041,488.5242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
155.0000,2.0000,1096.3224,1304.0061,1716.4357,583.0375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
156.0000,2.0000,1094.4392,1395.2660,1717.6465,676.9038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
157.0000,2.0000,1092.6632,1487.4028,1718.5590,771.8421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
158.0000,2.0000,1090.7190,1577.8914,1719.5448,865.5352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
159.0000,1.0000,1720.6622,959.7049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
160.0000,1.0000,1721.6190,1053.6050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
161.0000,1.0000,1722.6062,1147.6897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
162.0000,1.0000,1723.3394,1240.3658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
163.0000,1.0000,1723.9566,1332.9562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
164.0000,1.0000,1724.6891,1425.4977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
165.0000,2.0000,1725.4260,1518.1111,998.3933,64.2423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
166.0000,2.0000,1725.7053,1610.5841,999.0839,157.2991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
167.0000,2.0000,1000.1072,250.3237,1513.5551,94.1206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
168.0000,2.0000,1000.7721,343.7705,1514.8110,187.2958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
169.0000,2.0000,1001.3270,436.6511,1516.2089,280.5540,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
170.0000,2.0000,1002.2845,530.3570,1517.8778,374.2155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
171.0000,2.0000,1003.1973,622.6441,1519.4192,467.0463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
172.0000,2.0000,1003.9272,717.0608,1520.6528,561.2113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
173.0000,2.0000,1004.9915,809.7401,1522.0761,654.0260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
174.0000,2.0000,1005.9606,902.7759,1523.2978,747.7905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
175.0000,2.0000,1007.0192,995.0296,1524.4081,840.6231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176.0000,2.0000,1008.3057,1088.7032,1525.2918,934.9477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177.0000,2.0000,1009.4659,1180.7060,1526.2863,1027.7576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
178.0000,2.0000,1010.7769,1273.3281,1527.3039,1121.4649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
179.0000,2.0000,1012.1959,1365.1974,1528.5184,1214.0195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
180.0000,2.0000,1013.1330,1457.8995,1529.6370,1307.4922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
