FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y,MidPoint_20_x,MidPoint_20_y
3088.0000,10.0000,758.9019,1344.4911,1378.8009,1107.9083,271.8571,996.3270,969.8630,664.1700,228.1523,615.1798,1655.5084,484.5891,741.3867,461.1054,333.8485,432.3091,766.3085,359.2319,1856.6014,87.4029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3089.0000,11.0000,759.4681,1423.8216,1378.6444,1188.3387,271.4908,1070.9417,970.5436,744.6630,225.6271,692.1979,1656.1728,561.5033,742.0924,537.8316,332.6194,514.3609,766.5293,437.0050,1851.5477,166.9398,1498.3674,79.2948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3090.0000,12.0000,760.1338,1501.7288,1378.2165,1267.6230,271.1141,1145.2334,971.2199,824.1357,223.3645,768.3678,1657.3009,638.1960,742.8190,614.1119,331.0725,595.4753,767.2683,514.2244,1846.2791,245.3106,1499.9507,156.2861,341.5231,157.6720,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3091.0000,14.0000,760.7872,1580.3232,1377.6335,1346.9450,271.1404,1219.6022,972.3564,904.2584,221.5609,844.9087,1658.0316,715.8657,743.5200,690.5839,330.4266,677.4759,767.2980,592.5010,1840.8701,324.5806,276.1397,268.0257,1501.0697,233.6058,330.3162,222.4025,414.7287,221.2867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3092.0000,15.0000,1377.8271,1425.7009,271.4142,1293.7789,973.5063,984.3979,219.8889,921.2958,1658.9415,793.1755,744.3901,766.2357,329.2435,758.7507,767.9765,670.6339,1835.7947,403.0012,275.0614,347.7919,1503.0391,310.8995,330.3631,300.2810,414.7218,299.4643,992.8495,128.2756,647.2874,134.6240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3093.0000,14.0000,1377.4307,1505.4990,270.4477,1369.6337,974.3206,1066.1394,217.3884,999.4420,1659.8183,871.7466,745.4422,843.2464,328.2506,841.2256,768.2909,750.3722,1830.7669,483.8133,274.3313,430.0020,1505.0332,389.7911,373.5879,380.2489,993.0774,208.8448,644.3206,214.9336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3094.0000,15.0000,1377.4091,1584.1645,271.8641,1443.5676,975.7908,1146.4587,215.2389,1075.7314,1660.7382,949.4241,746.4666,919.1726,328.0027,922.2412,768.8594,828.8128,1825.6847,563.2440,272.6660,509.9679,1507.0966,467.5519,374.2150,459.3762,993.1682,288.0008,641.6666,293.0822,1506.1145,86.9146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3095.0000,14.0000,271.6705,1516.1510,976.9514,1227.9040,213.9092,1153.5987,1661.0564,1028.6262,747.1994,996.0214,327.3127,1003.6491,769.6453,908.9274,1821.0998,642.9952,271.9725,591.8196,1508.6355,546.2393,375.5586,538.7230,993.2244,368.6732,638.9954,372.3879,1506.8221,167.3250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3096.0000,14.0000,271.7150,1588.4898,978.6677,1307.2213,212.5125,1229.9925,1661.0940,1106.3655,748.5827,1071.8137,326.7242,1083.7371,770.0244,987.5818,1816.0533,721.7292,270.6024,671.6959,1509.7905,623.8914,376.1098,617.0094,993.8821,446.7239,637.2170,449.5166,1507.6922,246.2498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3097.0000,14.0000,271.9193,1661.5485,980.1584,1388.4875,211.2504,1308.6257,1661.4397,1186.1027,326.2920,1165.6980,749.8763,1148.7528,770.1964,1068.1372,1810.4607,802.2311,269.6034,753.3541,1511.2098,703.0037,377.0385,697.4306,993.7292,527.4204,635.2256,529.6938,1508.2603,327.0312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3098.0000,13.0000,982.0096,1467.5768,210.1186,1386.4282,1661.6466,1264.4214,325.8979,1246.2986,750.7636,1224.7922,770.7768,1147.4196,1804.9410,882.1404,268.9358,834.1472,1512.4599,781.6907,378.9287,776.7533,993.5867,606.2091,633.7276,608.4389,1508.2633,406.5831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3099.0000,13.0000,983.1719,1549.6235,209.5500,1464.4854,1661.7750,1343.4177,325.6854,1327.8560,751.9282,1301.1206,771.4721,1227.5590,1799.7829,961.9829,268.7601,915.1731,1513.4747,860.3671,380.0341,856.3932,993.6210,685.7435,632.4096,687.7965,1508.9825,486.6567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3100.0000,15.0000,984.2246,1629.2149,210.4262,1536.5205,1662.2063,1420.9398,325.7776,1408.2241,752.8751,1376.1781,771.7520,1306.8289,1794.8078,1040.9439,267.4258,994.7178,1514.6563,938.2652,423.6996,937.5390,339.2183,931.7444,993.8228,764.0683,631.5808,766.2172,1509.2125,566.1020,1870.9466,121.2234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3101.0000,14.0000,208.2087,1609.6448,1662.1526,1499.5673,325.5105,1488.6438,753.9646,1453.1077,771.9570,1387.5351,1789.4418,1120.7312,266.6376,1076.2434,1515.0952,1017.6754,425.2298,1017.8180,339.9726,1011.2717,993.7661,843.6200,630.6293,846.2673,1509.7511,646.5887,1866.6687,196.9673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3102.0000,16.0000,1662.2959,1576.7383,326.1563,1568.3789,755.5769,1528.4942,772.3067,1467.1150,1783.7606,1199.0975,265.4400,1156.4829,1516.1405,1095.8452,426.7906,1096.8759,341.1567,1089.5722,993.7228,922.4236,630.0965,924.5713,1509.8722,725.8669,1862.9515,271.0189,1797.1599,111.6375,214.1239,107.0473,1380.0165,51.4945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3103.0000,17.0000,1662.5258,1652.5570,326.9174,1647.6468,756.4415,1604.2522,773.1205,1547.9308,1777.7708,1277.6481,264.0874,1237.5222,1516.9702,1175.4019,429.0534,1176.4726,342.0449,1168.8316,994.1843,1002.0070,629.4231,1004.0545,1510.2830,806.5690,1858.6934,347.4393,1797.3401,190.6248,214.7680,185.9296,1379.6462,126.8994,450.8988,41.3219,NaN,NaN,NaN,NaN,NaN,NaN
3104.0000,14.0000,773.3822,1627.9847,1772.0632,1356.5181,263.2717,1317.7389,1516.9654,1253.5154,431.2943,1254.9028,343.1856,1247.0937,994.5285,1081.3631,629.3580,1082.6259,1510.6926,886.3012,1855.3412,422.1543,1797.6044,268.5117,215.5422,263.6489,1379.9262,201.1435,450.6901,120.9445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3105.0000,13.0000,1766.1279,1435.3891,262.7558,1398.7642,1517.1300,1332.7676,433.1948,1334.7533,344.0842,1326.0464,994.9321,1161.5540,629.4432,1161.8029,1511.0169,967.2558,1851.2854,498.7887,1797.5319,347.1463,215.2269,342.8847,1379.3041,277.3764,450.9047,200.7028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3106.0000,14.0000,1760.5035,1513.6073,262.4457,1477.3002,1516.8902,1411.2400,435.4242,1413.2538,344.6378,1404.0306,995.8292,1240.6629,629.4616,1240.2793,1511.2949,1047.4789,1847.0840,574.5022,1797.2250,424.7957,214.6281,421.2588,1378.9600,352.7950,450.9745,279.8521,1049.1353,113.0281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3107.0000,14.0000,1754.5680,1591.7144,262.5421,1556.2766,1516.9464,1490.7271,437.4245,1492.7659,346.0097,1481.4862,996.4954,1319.5908,629.9372,1319.6012,1511.4814,1127.6061,1843.7262,650.1412,1796.0652,503.6388,213.6168,499.7662,1378.6002,428.3495,450.9608,359.9117,1051.3623,193.5777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
