FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y
47.0000,10.0000,512.5240,1421.9026,1615.7677,1417.1507,130.1340,1427.1601,815.3619,1181.7678,1683.8553,1036.2809,1865.5951,999.6875,1407.5687,846.0417,132.8440,500.0924,1112.1917,397.2804,422.8016,213.9786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48.0000,10.0000,513.8453,1501.1696,1613.4808,1492.7547,130.7842,1504.7780,816.1217,1258.9431,1683.2632,1116.5131,1865.4043,1080.1394,1408.7448,926.5983,132.7133,579.2069,1110.5241,479.7761,422.7779,292.7933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49.0000,10.0000,514.7327,1579.7935,1610.9583,1567.5754,132.1689,1579.2734,817.1031,1336.1689,1683.9127,1196.2155,1865.3060,1159.3137,1409.7312,1007.2597,132.7171,658.3678,1109.4226,562.4617,423.3611,371.3074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50.0000,9.0000,514.6834,1656.4981,1607.9951,1641.8515,817.5340,1413.8272,1684.2610,1276.8751,1864.9278,1239.2897,1410.9659,1088.5321,132.8459,738.1276,1108.6529,645.9119,423.4812,450.2104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51.0000,7.0000,818.5961,1490.6388,1684.0326,1356.0931,1865.0254,1318.3368,1411.7076,1168.5354,133.1135,817.9472,1107.4850,728.4480,424.4883,528.7619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52.0000,7.0000,818.7681,1567.7642,1684.0465,1436.1153,1864.9690,1398.3198,1413.0396,1248.8550,133.6236,898.1235,1106.9133,811.3195,424.9367,607.8298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53.0000,7.0000,819.9668,1644.8872,1684.6943,1514.7852,1864.5045,1477.1924,1414.0592,1328.0114,134.7479,977.5221,1105.5224,893.1688,425.1668,686.6072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54.0000,6.0000,1684.2734,1593.5126,1864.6686,1556.7301,1414.8417,1407.3183,135.9996,1056.9310,1104.5478,975.6943,425.1447,765.8209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55.0000,4.0000,1415.1194,1485.4149,137.0081,1135.5020,1103.0101,1057.1656,426.0244,845.1638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56.0000,5.0000,1414.6800,1564.9022,137.6427,1215.0956,1101.8121,1140.2455,426.0292,925.0835,1725.2634,70.0962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
