FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y
56.0000,7.0000,1724.1673,1441.0160,125.6964,1353.5303,583.9475,767.0908,1119.6757,707.7737,518.7765,401.7191,1276.2977,380.6538,1530.3878,239.9329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57.0000,7.0000,1724.5338,1518.8621,125.5695,1431.8504,583.8164,845.2083,1119.6063,786.7590,517.8043,482.2981,1274.1257,457.6931,1527.2875,316.6556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.0000,8.0000,1725.0942,1595.7932,126.7774,1510.7292,583.9519,924.5027,1119.8330,866.5195,516.6986,563.7251,1271.9467,535.5222,1524.9790,393.9722,1743.3620,106.3556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59.0000,7.0000,127.9470,1586.8850,584.6397,1003.3253,1120.1448,945.8016,516.0589,645.1168,1269.5464,613.3259,1522.1576,471.1729,1741.8661,184.2918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60.0000,7.0000,585.0906,1083.0736,1120.4645,1026.3330,515.1164,727.4888,1267.5082,691.6944,1519.2213,549.5554,1740.5246,263.5617,941.7968,162.6301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.0000,7.0000,585.5860,1162.2533,1120.8745,1105.8046,514.4888,808.4222,1265.2443,769.6092,1516.2549,627.2514,1738.9327,341.8233,942.1337,241.1944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.0000,8.0000,585.9829,1242.1797,1120.6093,1185.7785,513.8768,891.1770,1262.6782,848.9010,1513.1953,706.0666,1737.6205,421.2060,942.4677,321.4579,282.6365,102.5124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.0000,8.0000,586.7491,1321.5169,1121.4083,1265.6840,513.2046,973.0380,1260.7549,927.1735,1510.5076,783.8168,1735.6667,500.8250,942.7989,400.5578,275.8462,181.2738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.0000,8.0000,587.1268,1402.0257,1122.0813,1345.9142,512.5205,1055.7637,1258.4708,1006.5631,1507.8316,862.7736,1734.2972,580.7076,943.1802,481.2210,269.2231,261.9595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65.0000,8.0000,587.6095,1481.3078,1122.2123,1424.5754,512.9264,1137.4276,1256.1991,1085.1964,1504.9816,940.9463,1732.1041,660.0146,943.1995,560.7278,262.8701,341.7568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66.0000,8.0000,588.4728,1559.6256,1123.1594,1503.8211,512.1799,1218.8528,1254.0289,1164.0279,1502.6612,1019.4654,1729.9208,738.6686,943.5544,640.7789,256.6934,421.2525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67.0000,8.0000,1123.5168,1582.2851,512.0424,1299.5730,1252.2055,1242.1528,1500.5416,1097.2679,1727.2110,817.4637,943.7138,720.0530,250.7713,500.4201,1327.2828,47.1075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68.0000,7.0000,511.9576,1381.0611,1250.4159,1320.4060,1498.1839,1175.7454,1724.1704,896.8599,943.8639,800.5003,245.1593,580.1863,1327.9764,125.6948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69.0000,7.0000,512.2060,1461.5125,1247.9787,1398.7970,1495.5004,1254.3839,1721.4000,975.6039,944.2534,879.9020,240.2457,658.9428,1328.6413,203.5607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70.0000,9.0000,512.8862,1541.4926,1245.7534,1476.6963,1493.1479,1332.2027,1718.6436,1054.1532,944.5954,959.2878,234.7944,737.7008,1329.4950,281.0895,510.9323,92.9766,1108.3511,64.5095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71.0000,9.0000,513.9814,1619.8053,1243.6508,1553.6751,1490.8397,1410.3484,1716.2983,1133.1536,944.8988,1038.9439,229.3333,817.0076,1330.2871,358.9583,507.6659,170.2769,1108.9431,143.7212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72.0000,8.0000,1240.8963,1631.1794,1488.5922,1488.2360,1713.7911,1212.4048,945.2003,1118.7010,224.4080,896.8395,1331.2858,437.2569,505.2517,247.7708,1110.0961,223.4026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73.0000,7.0000,1486.0174,1565.5055,1711.6638,1290.1761,945.4812,1197.5317,219.8000,976.4333,1332.0198,515.2583,502.4742,324.5281,1110.5014,303.3967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74.0000,8.0000,1709.3750,1368.2276,946.0129,1275.9158,215.3457,1055.4391,1332.7131,592.8448,500.1673,400.7728,1111.7349,383.5885,1142.4943,43.4176,915.6046,62.2172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75.0000,8.0000,1707.7146,1446.5172,946.4582,1354.9995,210.0780,1134.4216,1333.5933,671.6160,1113.0480,464.2610,497.7363,477.8310,1143.0284,123.5372,918.5068,142.5449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76.0000,8.0000,1705.4458,1524.5752,947.2471,1433.3234,205.8835,1212.8092,1333.9049,749.3954,1113.8341,544.8292,494.8821,555.3471,1142.8737,203.1775,921.2471,223.6908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77.0000,8.0000,1703.2180,1603.6216,947.7809,1512.2818,201.6398,1292.1102,1335.0841,827.7600,1114.7780,625.3473,492.0442,633.1943,1142.6748,283.0995,923.7307,304.0019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78.0000,7.0000,948.6633,1590.8695,198.0086,1369.8401,1336.0932,904.7107,1115.5415,704.7825,489.6497,709.8023,1142.9492,362.4173,926.5608,383.6454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79.0000,6.0000,194.8688,1445.1257,1337.3399,982.3745,1115.7564,784.5541,487.1341,786.9567,1142.9343,442.7664,928.8106,464.3422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80.0000,6.0000,192.2972,1523.2207,1338.2142,1059.3572,1116.2615,862.9213,484.5009,863.1846,1142.8505,522.5385,931.4597,543.9331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
