FrameNr,NumberMidPoints,MidPoint_1_x,MidPoint_1_y,MidPoint_2_x,MidPoint_2_y,MidPoint_3_x,MidPoint_3_y,MidPoint_4_x,MidPoint_4_y,MidPoint_5_x,MidPoint_5_y,MidPoint_6_x,MidPoint_6_y,MidPoint_7_x,MidPoint_7_y,MidPoint_8_x,MidPoint_8_y,MidPoint_9_x,MidPoint_9_y,MidPoint_10_x,MidPoint_10_y,MidPoint_11_x,MidPoint_11_y,MidPoint_12_x,MidPoint_12_y,MidPoint_13_x,MidPoint_13_y,MidPoint_14_x,MidPoint_14_y,MidPoint_15_x,MidPoint_15_y,MidPoint_16_x,MidPoint_16_y,MidPoint_17_x,MidPoint_17_y,MidPoint_18_x,MidPoint_18_y,MidPoint_19_x,MidPoint_19_y
2665.0000,11.0000,240.4109,1249.2163,1590.6420,1203.8992,513.4305,1106.2465,1737.9884,602.3182,1895.8245,570.9809,1435.1287,554.6703,1665.3846,426.2023,834.4623,368.2445,872.7547,174.2583,1650.3794,100.0795,2047.5365,107.7608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2666.0000,11.0000,237.4405,1329.3639,1592.1572,1278.4777,512.2166,1181.0165,1742.1154,679.2026,1896.0591,648.7143,1437.1442,632.0632,1667.8177,504.8622,834.4908,446.1264,875.1479,252.5163,1650.8982,176.2407,2048.8791,185.5718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2667.0000,11.0000,235.1979,1409.3956,1593.4935,1353.6189,510.4538,1256.3803,1746.3519,757.4024,1895.8517,727.2247,1439.3027,710.5316,1669.7532,585.4898,834.9320,525.3882,877.3388,332.4568,1652.5276,253.7037,2050.1973,263.9030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2668.0000,11.0000,233.6801,1488.0460,1595.0381,1428.7010,509.7993,1331.7491,1750.2766,835.2287,1895.2757,805.7017,1441.0277,789.3681,1671.2988,665.8166,835.1568,604.6294,879.7520,411.5046,1653.7250,331.4995,2050.4296,343.4391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2669.0000,12.0000,233.3782,1568.1601,1595.9305,1504.1494,508.7070,1407.2312,1754.0813,913.5350,1894.6331,884.7797,1442.8473,868.2191,1673.1425,746.3793,835.4636,683.9969,881.4313,491.6343,1655.3946,409.6698,2050.9683,422.5345,1668.5010,100.5872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2670.0000,11.0000,1596.9505,1577.4503,506.9977,1482.1532,1757.6581,991.0168,1893.9914,962.4081,1444.5285,946.7915,1675.2950,826.3998,835.9630,762.8301,883.1718,570.3731,1656.1495,486.2683,2051.5865,500.5732,1669.3724,178.3590,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2671.0000,11.0000,1598.5727,1650.9312,507.4654,1554.7797,1761.1130,1068.6583,1892.8821,1041.2919,1445.6587,1025.3725,1677.3881,906.7143,836.5602,841.9613,884.5890,649.9202,2051.6691,579.6805,1657.3802,563.8423,1670.3502,256.9076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2672.0000,10.0000,504.4238,1628.1124,1764.5948,1147.0921,1891.8205,1120.0742,1446.9211,1104.2949,1678.7378,987.8076,837.0026,921.7628,885.1433,729.5722,1658.1676,642.0076,2051.7988,658.4474,1671.3233,336.2181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2673.0000,9.0000,1768.5798,1224.5473,1890.8361,1197.6018,1448.6658,1182.6579,1681.1400,1067.3932,837.0195,1000.2437,886.2872,808.9803,2051.8946,736.7519,1659.4011,719.2532,1672.6690,414.4337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2674.0000,9.0000,1772.0117,1302.0643,1889.5675,1275.5144,1450.1740,1261.2906,1682.5897,1148.0548,837.0914,1079.7736,886.7221,888.2081,2051.8238,816.5829,1660.2298,797.4465,1674.2298,493.2861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2675.0000,9.0000,1775.2452,1379.6763,1887.8856,1353.3820,1451.8429,1339.5890,1684.2867,1227.4519,837.4843,1158.7075,887.0172,967.5491,2051.7456,894.9579,1660.9149,874.8278,1675.9089,571.6235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2676.0000,9.0000,1778.0434,1457.1024,1885.8140,1431.7922,1453.6845,1418.5735,1685.5767,1307.8814,837.6318,1238.5438,887.5109,1047.2269,2052.1744,974.6649,1661.7089,953.0933,1678.3089,651.1260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2677.0000,10.0000,1781.2929,1533.8673,1884.2219,1508.6234,1455.3997,1496.1914,1687.1389,1387.5903,838.0511,1316.2874,887.2573,1126.1229,2052.7791,1053.8432,1663.1880,1030.7860,1680.6024,729.0909,1609.0983,92.3466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2678.0000,10.0000,1783.9294,1611.7464,1882.0013,1584.5955,1457.0722,1574.4097,1688.2985,1467.7303,838.8593,1395.7461,887.4731,1204.8553,2053.0560,1133.2652,1664.0447,1108.5629,1682.4161,808.0428,1611.6973,169.9726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2679.0000,7.0000,1689.7288,1546.8023,839.2916,1474.5245,887.2147,1283.5846,2053.3784,1211.1555,1664.8091,1185.5383,1683.7023,886.4128,1614.2573,247.4207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2680.0000,7.0000,1690.7610,1625.8346,840.2929,1553.4494,886.2869,1363.8211,2053.2877,1290.4983,1665.6900,1263.8073,1685.0136,967.0928,1617.4507,326.0570,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2681.0000,6.0000,841.2311,1633.3042,885.7780,1441.5970,2052.7617,1368.0273,1667.1562,1340.8735,1686.3414,1045.5734,1620.3624,404.0143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2682.0000,5.0000,884.7877,1520.7917,2052.3481,1446.4513,1667.9263,1419.0756,1687.5616,1125.8283,1623.2318,482.4876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2683.0000,5.0000,883.5286,1598.7676,2050.3426,1524.8921,1668.2591,1495.7874,1688.4317,1203.9950,1625.6488,559.5647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2684.0000,6.0000,2048.7654,1603.5003,1668.8790,1574.2276,1689.3431,1283.2582,1628.0699,638.6624,1147.0905,106.1593,573.6481,110.7396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2685.0000,5.0000,1669.1408,1648.8682,1690.4471,1361.8226,1630.6780,716.5294,1145.3196,182.0944,573.5761,189.3719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2686.0000,4.0000,1691.2011,1440.9807,1633.3420,796.0469,573.4177,269.2434,1143.0586,259.0220,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2687.0000,4.0000,1691.7824,1519.3003,1635.5708,873.3609,573.7589,347.6134,1140.9870,334.8030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2688.0000,4.0000,1692.3159,1597.9752,1638.1190,951.8873,573.6596,427.4149,1139.0898,412.1941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2689.0000,3.0000,1640.9887,1029.6220,573.8820,506.6520,1137.7342,488.7992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2690.0000,4.0000,1644.1027,1107.8059,574.7792,586.2647,1135.6769,567.1442,2011.5458,153.9602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
